PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
40115,-9.210719,-1.459366,-3.183432,-0.046599,0.117858,0.040498,0.036324,-0.073323,-0.022706,0.991699,-0.298584,0.237793,-0.092097,-0.014577,-0.031871,1.000000,0.000182,-0.000367,-0.000114,-0.409573,0.660414,-0.480750,-0.406181,-155.787540,68.481552,-55.493296,0.207794,-0.302266,-0.930300,-0.967709,-0.202260,-0.150433,-0.142691,0.931518,-0.334534
40116,-9.305747,-1.438922,-3.214856,-0.083313,0.104493,0.136426,0.037791,-0.085132,-0.024249,0.998047,-0.299316,0.233887,-0.093046,-0.014372,-0.032191,1.000000,0.000189,-0.000426,-0.000121,-0.409952,0.660222,-0.480572,-0.406322,-155.682862,68.520340,-55.404060,0.207906,-0.301423,-0.930548,-0.967713,-0.201981,-0.150784,-0.142503,0.931852,-0.333684
40117,-9.217981,-1.436598,-3.219005,-0.066300,0.062209,0.055884,0.028370,-0.091816,-0.022925,1.006592,-0.300537,0.240479,-0.092167,-0.014351,-0.032234,1.000000,0.000142,-0.000459,-0.000115,-0.410385,0.659895,-0.480441,-0.406569,-155.586219,68.578444,-55.330820,0.207755,-0.300381,-0.930918,-0.967782,-0.201520,-0.150957,-0.142254,0.932288,-0.332570
40118,-9.150331,-1.534737,-3.267206,0.048593,0.006913,0.023785,0.031499,-0.094774,-0.020073,1.006348,-0.302246,0.239014,-0.091489,-0.015333,-0.032718,1.000000,0.000157,-0.000474,-0.000100,-0.410758,0.659685,-0.480245,-0.406766,-155.484160,68.623164,-55.240575,0.207813,-0.299456,-0.931203,-0.967785,-0.201286,-0.151248,-0.142146,0.932636,-0.331639
40119,-9.113573,-1.531496,-3.303040,0.058497,-0.052630,0.000904,0.031254,-0.085697,-0.014543,1.011963,-0.308594,0.235840,-0.091123,-0.015303,-0.033072,1.000000,0.000156,-0.000428,-0.000073,-0.411218,0.659380,-0.479969,-0.407121,-155.362457,68.691741,-55.127902,0.207764,-0.298133,-0.931639,-0.967795,-0.201059,-0.151487,-0.142151,0.933109,-0.330304
40120,-9.034314,-1.551427,-3.332693,0.097773,-0.108051,-0.060182,0.025406,-0.069170,-0.016107,1.008545,-0.293457,0.241455,-0.090333,-0.015503,-0.033360,1.000000,0.000127,-0.000346,-0.000081,-0.411500,0.659225,-0.479826,-0.407255,-155.284103,68.723944,-55.059420,0.207821,-0.297455,-0.931843,-0.967798,-0.200870,-0.151719,-0.142049,0.933366,-0.329621
40121,-9.009369,-1.540217,-3.275442,0.083682,-0.075398,-0.104092,0.026457,-0.040710,-0.013267,1.004883,-0.302979,0.236328,-0.090088,-0.015392,-0.032775,1.000000,0.000132,-0.000204,-0.000066,-0.411833,0.659040,-0.479595,-0.407491,-155.186964,68.769540,-54.966100,0.207879,-0.296509,-0.932131,-0.967781,-0.200764,-0.151967,-0.142079,0.933690,-0.328690
40122,-9.052380,-1.518786,-3.279683,0.053308,-0.074534,-0.065882,0.024953,-0.021433,-0.012326,1.003174,-0.298096,0.238525,-0.090521,-0.015178,-0.032808,1.000000,0.000125,-0.000107,-0.000062,-0.411991,0.658974,-0.479562,-0.407477,-155.143110,68.777748,-54.934383,0.207966,-0.296284,-0.932183,-0.967791,-0.200567,-0.152162,-0.141882,0.933803,-0.328452
40123,-9.142877,-1.526305,-3.264838,0.038820,-0.037043,0.014729,0.021303,-0.007259,-0.012334,1.007324,-0.296143,0.236084,-0.091429,-0.015254,-0.032653,1.000000,0.000107,-0.000036,-0.000062,-0.412175,0.658876,-0.479506,-0.407514,-155.094160,68.793654,-54.896660,0.208013,-0.295935,-0.932284,-0.967804,-0.200372,-0.152334,-0.141723,0.933956,-0.328088
40124,-9.199691,-1.580571,-3.266918,0.078152,-0.012933,0.076650,0.023923,-0.013401,-0.014256,1.002930,-0.300049,0.238037,-0.091996,-0.015795,-0.032677,1.000000,0.000120,-0.000067,-0.000071,-0.412314,0.658834,-0.479481,-0.407472,-155.053380,68.797189,-54.867614,0.208130,-0.295783,-0.932306,-0.967809,-0.200190,-0.152543,-0.141519,0.934043,-0.327927
